CD_Utilisation;LB_UTILISATION_FR;LB_UTILISATION_UK
B;Elevage en Captivité ou dissémination artificielle;Breeding in captivity or artificial propagation
E;Education;Educational
G;Jardins botaniques;Botanical gardens
H;Trophées de Chasse;Hunting Trophies
L;Légal / Juridique;Law enforcement / judicial / forensic
M;Médical (inclus la recherche bio-médicale);Medical (including bio-medical research)
N;Réintroduction ou introduction en milieu sauvage;Reintroduction or introduction into the wild
P;Usage personnel;Personal
Q;Exposition itinérante (Collection, cirques, ménageries, expositions florales, concerts, exposition temporaires de muséum à but commerciale);Travelling exhibitions (sample collection, circus, menagerie, plant exhibition, orchestra or museum exhibition that is used for commercial display for the public)
S;Scientifique;Scientific
T;Commerce;Commercial
Z;Zoos;Zoos
