idCITES,wdItem,scientificName,IUCNtaxonID,IUCNconservationstatusLabel_en,taxonCommonNames
10008,http://www.wikidata.org/entity/Q3932843,Pectinia pygmaeus,132918,near threatened,
10013,http://www.wikidata.org/entity/Q3939373,Balanophyllia regalis,,,
10015,http://www.wikidata.org/entity/Q2174274,Stylaster verrillii,,,
10017,http://www.wikidata.org/entity/Q22712558,Laotriton laoensis,59461,endangered species,
10018,http://www.wikidata.org/entity/Q5075524,Cordylus jordani,,,
10020,http://www.wikidata.org/entity/Q3539437,Trioceros perreti,203828,endangered species,Perret's Montane Chameleon ; Perret’s Chameleon ; Southern Peacock Chameleon
10025,http://www.wikidata.org/entity/Q3950433,Rhizopsammia verrilli,,,
10030,http://www.wikidata.org/entity/Q3229213,Leiopython fredparkeri,,,
10034,http://www.wikidata.org/entity/Q3997046,Hillopathes ramosa,,,
10035,http://www.wikidata.org/entity/Q3539441,Trioceros schubotzi,172539,near threatened,Mount Kenya Dwarf Chameleon ; Mt Kenya Side-striped Chameleon
10038,http://www.wikidata.org/entity/Q3018005,Tropidophis nigriventris,,,
10040,http://www.wikidata.org/entity/Q4122107,Brachypelma schroederi,,,
10041,http://www.wikidata.org/entity/Q311713,Hippocampus hendriki,,,Eastern Spiny Seahorse
10042,http://www.wikidata.org/entity/Q3947805,Goniopora palmensis,133232,least concern,
10043,http://www.wikidata.org/entity/Q3939714,Dendrophyllia johnsoni,63577,data deficient,
10044,http://www.wikidata.org/entity/Q3932337,Acropora willisae,132931,vulnerable,Staghorn coral
10046,http://www.wikidata.org/entity/Q3943738,Montipora australiensis,133443,vulnerable,Montipora coral
10048,http://www.wikidata.org/entity/Q3951785,Montipora millepora,133015,least concern,
10050,http://www.wikidata.org/entity/Q3729273,Ocadia philippeni,,,
10056,http://www.wikidata.org/entity/Q24247699,Andinobates viridis,55210,critically endangered,Green Poison Frog
10063,http://www.wikidata.org/entity/Q3939162,Flabellum vaughani,,,
10067,http://www.wikidata.org/entity/Q2454209,Crypthelia fragilis,,,
10072,http://www.wikidata.org/entity/Q2934442,Calumma tsaratananense,172760,vulnerable,Tsaratanana Chameleon
10076,http://www.wikidata.org/entity/Q2236816,Nectophrynoides tornieri,54844,least concern,Tornier's Forest Toad ; Tornier's Tree Toad
10079,http://www.wikidata.org/entity/Q4002622,Tanacetipathes squamosa,,,
10080,http://www.wikidata.org/entity/Q3948143,Truncatoflabellum gardineri,,,
10081,http://www.wikidata.org/entity/Q3552375,Uromastyx thomasi,199600,vulnerable,Omani Spiny-tailed Lizard ; Thomas' Mastigure
10088,http://www.wikidata.org/entity/Q307278,Colophon eastmani,5160,endangered species,
10094,http://www.wikidata.org/entity/Q2842553,Ameerega pongoensis,55232,vulnerable,
10097,http://www.wikidata.org/entity/Q3946695,Caryophyllia stellula,,,
10100,http://www.wikidata.org/entity/Q3951051,Anacropora reticulata,133689,vulnerable,Anacropora coral
10103,http://www.wikidata.org/entity/Q2245688,Leptodactylus laticeps,57138,near threatened,Santa Fe Frog
10107,http://www.wikidata.org/entity/Q3936489,Acropora nobilis,133266,least concern,Staghorn coral
10108,http://www.wikidata.org/entity/Q3939426,Astreopora lambertsi,,,
10110,http://www.wikidata.org/entity/Q2926150,Brookesia valerieae,176300,endangered species,
10113,http://www.wikidata.org/entity/Q2926147,Brookesia therezieni,176298,least concern,Perinet Leaf Chameleon
10114,http://www.wikidata.org/entity/Q3945083,Placotrochides frustum,,,
10116,http://www.wikidata.org/entity/Q4002964,Antipathes thamnoides,,,
10121,http://www.wikidata.org/entity/Q2648200,Lepidotheca ramosa,,,
10122,http://www.wikidata.org/entity/Q4006514,Antipathes salicoides,,,
10125,http://www.wikidata.org/entity/Q3539418,Trioceros feae,176314,near threatened,
10126,http://www.wikidata.org/entity/Q16480300,Acropora tutuilensis,133030,data deficient,
10127,http://www.wikidata.org/entity/Q3946775,Phyllangia echinosepes,,,
10135,http://www.wikidata.org/entity/Q3934092,Caryophyllia zopyros,,,
10148,http://www.wikidata.org/entity/Q3954233,Anacropora puertogalerae,133415,vulnerable,Anacropora coral
10153,http://www.wikidata.org/entity/Q25381738,Fungia klunzingeri,,,
10158,http://www.wikidata.org/entity/Q2710727,Varanus mitchelli,83778268,critically endangered,
10164,http://www.wikidata.org/entity/Q4015732,Lillipathes quadribrachiata,,,
10172,http://www.wikidata.org/entity/Q3934982,Leptopsammia trinitatis,,,
10175,http://www.wikidata.org/entity/Q3934198,Balanophyllia wellsi,,,
10179,http://www.wikidata.org/entity/Q3942736,Porites mayeri,133249,least concern,Stony coral
10180,http://www.wikidata.org/entity/Q3091007,Furcifer tuzetae,176320,data deficient,
10186,http://www.wikidata.org/entity/Q3324128,Distichopora asulcata,,,
10188,http://www.wikidata.org/entity/Q2926138,Brookesia exarmata,176295,endangered species,Dwarf chameleon
10189,http://www.wikidata.org/entity/Q3945706,Turbinaria irregularis,132916,least concern,
10190,http://www.wikidata.org/entity/Q2680934,Conopora tetrastichopora,,,
10192,http://www.wikidata.org/entity/Q3939339,Astrangia conferta,,,
10196,http://www.wikidata.org/entity/Q3944142,Madracis brueggemanni,,,
10198,http://www.wikidata.org/entity/Q3418977,Ranitomeya cyanovittata,,,
10201,http://www.wikidata.org/entity/Q3999203,Antipathes delicatula,,,
10204,http://www.wikidata.org/entity/Q3939472,Acropora schmitti,133626,data deficient,
10211,http://www.wikidata.org/entity/Q3954206,Crispatotrochus niinoi,,,
