idCITES,speciesLabel,nomScientific,IUCNtaxonID,IUCNconservationstatusLabel,taxonCommonName
10008,Pectinia pygmaeus,,,,
10013,Balanophyllia regalis,,,,
10015,Stylaster verrillii,,,,
10017,Laotriton laoensis,,,,
10018,Cordylus jordani,,,,
10020,Trioceros perreti,Trioceros perreti,203828,espèce en danger,Perret's Montane Chameleon
10020,Trioceros perreti,Trioceros perreti,203828,espèce en danger,Perret’s Chameleon
10020,Trioceros perreti,Trioceros perreti,203828,espèce en danger,Southern Peacock Chameleon
10025,Rhizopsammia verrilli,,,,
10030,Leiopython fredparkeri,,,,
10034,Hillopathes ramosa,,,,
10035,Trioceros schubotzi,Trioceros schubotzi,172539,espèce quasi menacée,Mount Kenya Dwarf Chameleon
10035,Trioceros schubotzi,Trioceros schubotzi,172539,espèce quasi menacée,Mt Kenya Side-striped Chameleon
10038,Tropidophis nigriventris,,,,
10040,Brachypelma schroederi,,,,
10041,Hippocampus hendriki,,,,
10042,Goniopora palmensis,,,,
10043,Dendrophyllia johnsoni,,,,
10044,Acropora willisae,Acropora willisae,132931,espèce vulnérable,Staghorn coral
10046,Montipora australiensis,Montipora australiensis,133443,espèce vulnérable,Montipora coral
10048,Montipora millepora,,,,
10050,Ocadia philippeni,,,,
10056,Andinobates viridis,Andinobates viridis,55210,espèce en danger de disparition,Green Poison Frog
10063,Flabellum vaughani,,,,
10067,Crypthelia fragilis,,,,
10072,Calumma tsaratananense,Calumma tsaratananense,172760,espèce vulnérable,Tsaratanana Chameleon
10076,Nectophrynoides tornieri,Nectophrynoides tornieri,54844,préoccupation mineure,Tornier's Forest Toad
10076,Nectophrynoides tornieri,Nectophrynoides tornieri,54844,préoccupation mineure,Tornier's Tree Toad
10079,Tanacetipathes squamosa,,,,
10080,Truncatoflabellum gardineri,,,,
10081,Uromastyx thomasi,Uromastyx thomasi,199600,espèce vulnérable,Omani Spiny-tailed Lizard
10081,Uromastyx thomasi,Uromastyx thomasi,199600,espèce vulnérable,Thomas' Mastigure
10088,Colophon eastmani,,,,
10094,Ameerega pongoensis,,,,
10097,Caryophyllia (Caryophyllia) stellula,,,,
10100,Anacropora reticulata,Anacropora reticulata,133689,espèce vulnérable,Anacropora coral
10103,Leptodactylus laticeps,Leptodactylus laticeps,57138,espèce quasi menacée,Santa Fe Frog
10107,Acropora nobilis,Acropora nobilis,133266,préoccupation mineure,Staghorn coral
10108,Astreopora lambertsi,,,,
