Kingdom;Phylum;Class;Order;Family;Genus;Species;Subspecies;Full Name;Rank;Remarks;start_date;start_notification;end_date;end_notification;party;notes;valid
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;14/11/2006;CITES Notif. No. 2006/061;;;Kyrgyzstan;Suspension of the issuance of export permits for <i>Falco cherrug</i>. Parties to inform the Secretariat if an export permits is presented to them. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;14/11/2006;CITES Notif. No. 2006/061;;;Mongolia;Suspension of the issuance of export permits for <i>Falco cherrug</i>. Parties to inform the Secretariat if an export permits is presented to them. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;14/11/2006;CITES Notif. No. 2006/061;;;Pakistan;Suspension of the issuance of export permits for <i>Falco cherrug</i>. Parties to inform the Secretariat if an export permits is presented to them. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;14/11/2006;CITES Notif. No. 2006/061;;;Russian Federation;Suspension of the issuance of export permits for <i>Falco cherrug</i>. Parties to inform the Secretariat if an export permits is presented to them. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;14/11/2006;CITES Notif. No. 2006/061;;;Saudi Arabia;Suspension of the issuance of export permits for <i>Falco cherrug</i>. Parties to inform the Secretariat if an export permits is presented to them. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;14/11/2006;CITES Notif. No. 2006/061;;;Turkmenistan;Suspension of the issuance of export permits for <i>Falco cherrug</i>. Parties to inform the Secretariat if an export permits is presented to them. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;cherrug;;Falco cherrug;SPECIES;;14/11/2006;CITES Notif. No. 2006/061;;;Uzbekistan;Suspension of the issuance of export permits for <i>Falco cherrug</i>. Parties to inform the Secretariat if an export permits is presented to them. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;peregrinus;;Falco peregrinus;SPECIES;;01/03/2013;CITES Notif. No. 2013/008;;;Russian Federation;The import of <i>Falco peregrinus</i> and hybrids thereof into the Russian Federation is allowed only after issuance of an import permit by the Russian CITES Management Authority, regardless of the origin of the birds. ;true
Animalia;Chordata;Aves;Falconiformes;Falconidae;Falco;rusticolus;;Falco rusticolus;SPECIES;;01/03/2013;CITES Notif. No. 2013/008;;;Russian Federation;The import of <i>Falco rusticolus</i> and hybrids thereof into the Russian Federation is allowed only after issuance of an import permit by the Russian CITES Management Authority, regardless of the origin of the birds. ;true
Animalia;Chordata;Aves;Gruiformes;Gruidae;Balearica;pavonina;;Balearica pavonina;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Guinea;All exports. ;true
Animalia;Chordata;Aves;Gruiformes;Gruidae;Balearica;pavonina;;Balearica pavonina;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;South Sudan;All exports. ;true
Animalia;Chordata;Aves;Gruiformes;Gruidae;Balearica;pavonina;;Balearica pavonina;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Sudan;All exports. ;true
Animalia;Chordata;Aves;Gruiformes;Gruidae;Balearica;regulorum;;Balearica regulorum;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Rwanda;All exports. ;true
Animalia;Chordata;Aves;Gruiformes;Gruidae;Balearica;regulorum;;Balearica regulorum;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;United Republic of Tanzania;All exports. ;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Agapornis;fischeri;;Agapornis fischeri;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;United Republic of Tanzania;All exports. ;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Agapornis;personatus;;Agapornis personatus;SPECIES;;15/03/1984;CITES Notif. No. 283;;;United Republic of Tanzania;All exports. Trade ban issued under the synonym <i>Agapornis personata</i>.;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Coracopsis;vasa;;Coracopsis vasa;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Madagascar;All exports. ;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Cyanopsitta;spixii;;Cyanopsitta spixii;SPECIES;;10/08/2001;CITES Notif. No. 2001/052;;;Brazil;All trade without consulting the Brazilian Management Authority.;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Poicephalus;robustus;;Poicephalus robustus;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Democratic Republic of the Congo;All exports. ;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Poicephalus;robustus;;Poicephalus robustus;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Mali;All exports. ;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Poicephalus;robustus;;Poicephalus robustus;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Togo;All exports. ;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Psittacus;erithacus;;Psittacus erithacus;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Equatorial Guinea;All exports. ;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Psittacus;erithacus;;Psittacus erithacus;SPECIES;;08/11/2013;CITES Notif. No. 2013/051;;;Democratic Republic of the Congo;Validity of CITES export permits apparently issued by the Democratic Republic of the Congo for <i>Psittacus erithacus</i>, to be confirmed by the Secretariat in accordance with Decision Decision 14.85.;true
Animalia;Chordata;Aves;Psittaciformes;Psittacidae;Psittacus;erithacus;;Psittacus erithacus;SPECIES;;24/08/1992;CITES Notif. No. 681;;;Burundi;All exports.;true
Animalia;Chordata;Reptilia;;;;;;Reptilia;CLASS;;16/01/2006;CITES Notif. No. 2006/006;;;Argentina;"The export of all live specimens of native species of reptiles (with the exception of: species subject to management plans and export quotas; specimens bred in captivity in registered operations; species considered as pests or harmful under current legisl";true
Animalia;Chordata;Reptilia;Crocodylia;Alligatoridae;Caiman;crocodilus;fuscus;Caiman crocodilus fuscus;SUBSPECIES;;24/07/2014;CITES Notif. No. 2014/033;;;Colombia;The Management Authority of Colombia has suspended the issuance of CITES permits for the export of skins of <i>Caiman crocodilus fuscus</i> that are not marked with a ‘scar button’, due to amputation of the 10th caudal scale. ;true
Animalia;Chordata;Reptilia;Crocodylia;Alligatoridae;Caiman;crocodilus;yacare;Caiman crocodilus yacare;SUBSPECIES;;16/01/2006;CITES Notif. No. 2006/006;;;Argentina;The export of live specimens, as well as of parts and derivatives (except for specimens from ranching operations).;true
Animalia;Chordata;Reptilia;Crocodylia;Alligatoridae;Caiman;latirostris;;Caiman latirostris;SPECIES;;16/01/2006;CITES Notif. No. 2006/006;;;Argentina;The export of live specimens, as well as of parts and derivatives (except for specimens from ranching operations).;true
Animalia;Chordata;Reptilia;Sauria;Agamidae;Uromastyx;acanthinura;;Uromastyx acanthinura;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports. ;true
Animalia;Chordata;Reptilia;Sauria;Agamidae;Uromastyx;aegyptia;;Uromastyx aegyptia;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;"All exports. Suspension originally formed for <i>Uromastyx aegyptius</i>; species subject to taxonomic changes at CoP16.";true
Animalia;Chordata;Reptilia;Sauria;Agamidae;Uromastyx;dispar;;Uromastyx dispar;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Mali;All exports. ;true
Animalia;Chordata;Reptilia;Sauria;Agamidae;Uromastyx;ocellata;;Uromastyx ocellata;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports. Trade ban issued under the synonym <i>Uromastyx ocellatus</i>.;true
Animalia;Chordata;Reptilia;Sauria;Agamidae;Uromastyx;ornata;;Uromastyx ornata;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports. Trade ban issued under the synonym <i>Uromastyx ornatus</i>.;true
Animalia;Chordata;Reptilia;Sauria;Chamaeleonidae;Calumma;;;Calumma;GENUS;;12/08/2014;CITES Notif. No. 2014/039;;;Madagascar;All exports, except <i>C. andringitraense, C. boettgeri, C. brevicorne, C. crypticum, C. fallax, C. gallus, C. gastrotaenia, C. glawi, C. globifer, C. guillaumeti, C. malthe, C. marojezense, C. nasutum, C. oshaughnessyi, C. parsonii, C. vencesi</i>;true
Animalia;Chordata;Reptilia;Sauria;Chamaeleonidae;Chamaeleo;africanus;;Chamaeleo africanus;SPECIES;;12/08/2014;CITES Notif. No. 2014/039;;;Niger;All exports. ;true
Animalia;Chordata;Reptilia;Sauria;Chamaeleonidae;Chamaeleo;africanus;;Chamaeleo africanus;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Reptilia;Sauria;Chamaeleonidae;Chamaeleo;chamaeleon;;Chamaeleo chamaeleon;SPECIES;;16/01/1992;CITES Notif. No. 662;;;Egypt;All exports.;true
Animalia;Chordata;Reptilia;Sauria;Chamaeleonidae;Furcifer;;;Furcifer;GENUS;;12/08/2014;CITES Notif. No. 2014/039;;;Madagascar;All exports, except <i>F. antimena, F. bifidus, F. campani, F. lateralis, F. minor, F. oustaleti, F. pardalis, F. petteri, F. rhinoceratus, F. verrucosus</i> and <i>F. willsii</i>.;true
Animalia;;;;;;;;Animalia;KINGDOM;;29/11/2010;CITES Notif. No. 2010/038;;;Philippines;The export of wild-caught specimens of terrestrial fauna for commercial purposes, and captive-bred specimens of terrestrial fauna except those from breeders authorized and registered by the Department of Environment and Natural Resources (DENR).;true
Animalia;Chordata;Mammalia;;;;;;Mammalia;;;16/01/2006;CITES Notif. No. 2006/006;;;Argentina;"The export of all live specimens of native species of mammals (with the exception of: species subject to management plans and export quotas; specimens bred in captivity in registered operations; species considered as pests or harmful under current legisla";true
